epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0424,0.81313,3.56464,1.04798,0.00433,1,0.18966,0.15042,0.67314,3.1859,0.87432,0.00024,0.00024,0.00024
2,27.2582,0.60169,2.15778,0.92247,0.00433,1,0.71576,0.52797,0.50941,3.10995,0.80853,0.0004505,0.0004505,0.0004505
3,29.3744,0.58186,1.92292,0.91869,1,0.18026,0.56829,0.47312,0.57127,3.08539,0.82831,0.00060952,0.00060952,0.00060952
4,31.4092,0.56787,1.78742,0.92807,0.91679,0.16953,0.46698,0.35834,0.60102,3.06372,0.84246,0.00071706,0.00071706,0.00071706
5,33.3974,0.51406,1.48378,0.90376,0.72579,0.26154,0.31756,0.26354,0.55464,3.02729,0.82858,0.00077312,0.00077312,0.00077312
6,35.3301,0.49829,1.38929,0.89611,0.91237,0.64081,0.79273,0.66988,0.56358,2.02029,0.83774,0.0007777,0.0007777,0.0007777
7,37.2459,0.4991,1.30544,0.87838,0.90578,0.7395,0.86359,0.71856,0.49585,1.62869,0.80066,0.0007308,0.0007308,0.0007308
8,39.158,0.41741,1.14631,0.82096,0.93539,0.89097,0.95604,0.82715,0.44053,1.313,0.78367,0.000614,0.000614,0.000614
9,41.0526,0.43972,1.17225,0.87189,0.98644,0.89231,0.9854,0.89165,0.38522,1.03585,0.78094,0.000416,0.000416,0.000416
10,42.9526,0.37379,1.04595,0.84479,0.98385,0.93726,0.98976,0.91467,0.35783,0.8487,0.77221,0.000218,0.000218,0.000218
